***** Begin #0-0 *****
Warning: 725 points required, but 729 points sampled.
Warning: 32768 points required, but 33534 points sampled.
Compiling model...
'compile' took 0.000091 s

PDE Class Name: Burgers2D
Training model...

Step      Train loss                                                                          Test loss                                                                           Test metric
2900      [4.30e-03, 6.35e-02, 7.22e-01, 9.88e-01, 6.52e-05, 3.88e-05, 8.06e-06, 1.14e-05]    [5.00e-03, 8.73e-02, 7.22e-01, 9.88e-01, 6.52e-05, 3.88e-05, 8.06e-06, 1.14e-05]    []  
3000      [8.09e-03, 7.01e-02, 7.22e-01, 9.90e-01, 6.72e-05, 3.85e-05, 7.76e-06, 1.09e-05]    [7.92e-03, 8.94e-02, 7.22e-01, 9.90e-01, 6.72e-05, 3.85e-05, 7.76e-06, 1.09e-05]    []  
Validation: epoch 3000 MSE 0.83063 MAE 0.76171 MXE 4.01051 L1RE 0.99587 L2RE 0.99655 CRMSE 0.66692
3100      [4.10e-03, 6.33e-02, 7.22e-01, 9.88e-01, 6.60e-05, 3.86e-05, 7.28e-06, 1.07e-05]    [4.84e-03, 8.73e-02, 7.22e-01, 9.88e-01, 6.60e-05, 3.86e-05, 7.28e-06, 1.07e-05]    []  
3200      [4.43e-03, 6.31e-02, 7.22e-01, 9.89e-01, 6.71e-05, 3.84e-05, 6.84e-06, 1.03e-05]    [5.30e-03, 8.71e-02, 7.22e-01, 9.89e-01, 6.71e-05, 3.84e-05, 6.84e-06, 1.03e-05]    []  
3300      [2.68e-02, 9.37e-02, 7.21e-01, 9.86e-01, 7.37e-05, 4.20e-05, 7.20e-06, 9.98e-06]    [2.69e-02, 1.10e-01, 7.21e-01, 9.86e-01, 7.37e-05, 4.20e-05, 7.20e-06, 9.98e-06]    []  
3400      [3.86e-03, 6.31e-02, 7.22e-01, 9.88e-01, 6.71e-05, 3.78e-05, 6.42e-06, 9.92e-06]    [4.63e-03, 8.73e-02, 7.22e-01, 9.88e-01, 6.71e-05, 3.78e-05, 6.42e-06, 9.92e-06]    []  
3500      [8.77e-03, 6.74e-02, 7.22e-01, 9.87e-01, 7.50e-05, 4.19e-05, 5.97e-06, 1.04e-05]    [9.00e-03, 9.24e-02, 7.22e-01, 9.87e-01, 7.50e-05, 4.19e-05, 5.97e-06, 1.04e-05]    []  
3600      [3.70e-03, 6.30e-02, 7.22e-01, 9.88e-01, 6.73e-05, 3.73e-05, 5.94e-06, 9.52e-06]    [4.49e-03, 8.72e-02, 7.22e-01, 9.88e-01, 6.73e-05, 3.73e-05, 5.94e-06, 9.52e-06]    []  
3700      [3.83e-03, 6.26e-02, 7.22e-01, 9.89e-01, 6.68e-05, 3.67e-05, 5.90e-06, 9.19e-06]    [4.45e-03, 8.68e-02, 7.22e-01, 9.89e-01, 6.68e-05, 3.67e-05, 5.90e-06, 9.19e-06]    []  
3800      [9.47e-03, 6.76e-02, 7.21e-01, 9.88e-01, 6.78e-05, 3.83e-05, 5.49e-06, 8.84e-06]    [1.00e-02, 9.11e-02, 7.21e-01, 9.88e-01, 6.78e-05, 3.83e-05, 5.49e-06, 8.84e-06]    []  
3900      [4.41e-03, 6.27e-02, 7.22e-01, 9.89e-01, 6.68e-05, 3.53e-05, 5.28e-06, 8.84e-06]    [5.27e-03, 8.70e-02, 7.22e-01, 9.89e-01, 6.68e-05, 3.53e-05, 5.28e-06, 8.84e-06]    []  
4000      [3.80e-03, 6.32e-02, 7.22e-01, 9.88e-01, 6.90e-05, 3.67e-05, 4.93e-06, 8.95e-06]    [4.53e-03, 8.78e-02, 7.22e-01, 9.88e-01, 6.90e-05, 3.67e-05, 4.93e-06, 8.95e-06]    []  
4100      [6.16e-03, 6.33e-02, 7.22e-01, 9.89e-01, 6.61e-05, 3.55e-05, 5.32e-06, 9.31e-06]    [6.78e-03, 8.76e-02, 7.22e-01, 9.89e-01, 6.61e-05, 3.55e-05, 5.32e-06, 9.31e-06]    []  
4200      [4.48e-03, 6.48e-02, 7.22e-01, 9.87e-01, 7.04e-05, 3.66e-05, 4.98e-06, 8.67e-06]    [5.31e-03, 8.94e-02, 7.22e-01, 9.87e-01, 7.04e-05, 3.66e-05, 4.98e-06, 8.67e-06]    []  
4300      [3.27e-03, 6.26e-02, 7.22e-01, 9.88e-01, 6.95e-05, 3.55e-05, 4.68e-06, 8.39e-06]    [4.06e-03, 8.72e-02, 7.22e-01, 9.88e-01, 6.95e-05, 3.55e-05, 4.68e-06, 8.39e-06]    []  
4400      [5.11e-03, 6.42e-02, 7.22e-01, 9.88e-01, 7.00e-05, 3.74e-05, 5.35e-06, 1.08e-05]    [5.94e-03, 8.88e-02, 7.22e-01, 9.88e-01, 7.00e-05, 3.74e-05, 5.35e-06, 1.08e-05]    []  
4500      [3.83e-03, 6.29e-02, 7.22e-01, 9.88e-01, 7.26e-05, 3.54e-05, 4.38e-06, 8.16e-06]    [4.76e-03, 8.75e-02, 7.22e-01, 9.88e-01, 7.26e-05, 3.54e-05, 4.38e-06, 8.16e-06]    []  
Validation: epoch 4500 MSE 0.83036 MAE 0.76157 MXE 4.01069 L1RE 0.99569 L2RE 0.99639 CRMSE 0.66676
4600      [4.67e-03, 6.27e-02, 7.22e-01, 9.88e-01, 6.94e-05, 3.60e-05, 4.24e-06, 8.05e-06]    [5.51e-03, 8.73e-02, 7.22e-01, 9.88e-01, 6.94e-05, 3.60e-05, 4.24e-06, 8.05e-06]    []  
4700      [3.18e-03, 6.23e-02, 7.22e-01, 9.88e-01, 7.02e-05, 3.53e-05, 4.21e-06, 8.46e-06]    [3.94e-03, 8.71e-02, 7.22e-01, 9.88e-01, 7.02e-05, 3.53e-05, 4.21e-06, 8.46e-06]    []  
4800      [5.58e-03, 6.76e-02, 7.22e-01, 9.88e-01, 6.83e-05, 3.71e-05, 6.62e-06, 9.54e-06]    [6.46e-03, 9.11e-02, 7.22e-01, 9.88e-01, 6.83e-05, 3.71e-05, 6.62e-06, 9.54e-06]    []  
4900      [5.30e-02, 1.49e-01, 7.24e-01, 9.88e-01, 8.52e-05, 3.80e-05, 8.82e-06, 1.26e-05]    [5.60e-02, 1.58e-01, 7.24e-01, 9.88e-01, 8.52e-05, 3.80e-05, 8.82e-06, 1.26e-05]    []  
5000      [3.19e-03, 6.28e-02, 7.22e-01, 9.88e-01, 7.19e-05, 3.59e-05, 3.82e-06, 8.05e-06]    [4.03e-03, 8.79e-02, 7.22e-01, 9.88e-01, 7.19e-05, 3.59e-05, 3.82e-06, 8.05e-06]    []  
5100      [4.10e-03, 6.31e-02, 7.22e-01, 9.88e-01, 7.35e-05, 3.56e-05, 3.74e-06, 7.76e-06]    [5.12e-03, 8.79e-02, 7.22e-01, 9.88e-01, 7.35e-05, 3.56e-05, 3.74e-06, 7.76e-06]    []  
